"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Checks if login page is on a specific page.","","0","0","3","0","0"
"","","","3","4","1","29","0"
"","should detect if the Elastic SIP Trunking section is displayed","","0","0","2","0","0"
"","should detect if the Support Center link is visible","","0","0","4","0","0"
"","should detect if the header menu is visible","","0","0","3","0","0"
"","should detect the focus of the Network section","","0","0","4","0","0"
"","should detect if the Facebook link is clickable","","0","0","3","0","0"
"","Checks if ""Telnyx"" logo button returns to the main page.","","0","0","3","0","0"
"","should detect if the talk to expert button is clickable","","0","0","4","0","0"
"","should detect if the Twitter link is clickable","","0","0","3","0","0"
"","Feature","","0","0","5","0","0"
"","should detect if the Log In link is visible","","0","0","4","0","0"
"","should detect the focus of the Products section","","0","0","4","0","0"
"","should detect if the footer is visible","","0","0","3","0","0"
"","Checks if main page has a specific title.","","0","0","3","0","0"
"","Checks if login page has a specific title.","","0","0","3","0","0"
"","should detect if the menu section is visible","","0","0","4","0","0"
"","Checks if ""Telnyx"" logo botton returns to the main page.","","0","0","2","0","0"
"","Checks if main page is on a specific page.","","0","0","3","0","0"
"","should detect if the Sign up button is clickable","","0","0","4","0","0"
"","should detect if the Call Us buttom is visible","","0","0","4","0","0"
"","Checks if the ""Telnyx"" logo button refreshes the page.","","0","0","3","0","0"
"","should detect if the LinkedIn link is clickable","","0","0","3","0","0"
"","should detect if the Products section is clickable","","0","0","1","0","0"
